iter	Passed	Remaining
837	11307	2185
838	11311	2170
839	11316	2155
8845	11239	20468846	11245	20318847	11251	20168848	11256	20028849	11261	19878850	11266	19728851	11272	19588852	11277	19438853	11282	19288854	11288	19148855	11295	1900
856	11302	1885
857	11309	1871
858	11313	1857
859	11318	18428860	11324	18288861	11330	1813
862	11336	17998863	11341	17858864	11347	17718865	11353	17568866	11360	1742
867	11365	1728
868	11370	17148869	11376	16998870	11381	16858871	11386	16718872	11391	16578873	11398	16438874	11402	1628870	11501	1703
8876	11411	16008877	11416	15868878	11420	15728879	11425	1558875	11530	1632
876	11534	1617
877	11539	1603
878	11542	1588
879	11546	1574
8885	11452	14738886	11456	14598887	11467	1446
888	11471	1432
889	11476	1418
890	11480	1404
891	11485	1390
892	11489	1376
893	11493	1362
894	11503	1349
895	11507	1335
896	11511	1321
897	11515	1307
898	11521	1294
899	11525	1280
900	11534	1267
901	11539	1253
902	11543	1239
903	11547	1226
904	11552	1212
905	11557	1199
906	11561	1185
907	11569	1172
908	11573	1158
909	11577	1145
910	11581	1131
911	11586	1117
912	11590	1104
913	11594	1090
914	11599	1077
915	11603	1064
916	11608	1050
917	11612	1037
918	11616	1023
919	11620	1010
920	11624	997
921	11628	983
922	11634	970
923	11639	957
924	11643	944
925	11647	930
926	11651	917
927	11656	904
928	11660	891
929	11666	878
930	11671	865
931	11675	851
932	11680	838
933	11684	825
934	11688	812
935	11692	799
936	11698	786
937	11703	773
938	11707	760
939	11711	747
940	11715	734
941	11719	721
942	11723	708
943	11731	695
944	11737	683
945	11745	670
946	11749	657
947	11754	644
948	11758	631
949	11762	619
950	11765	606
951	11771	593
952	11775	580
953	11779	567
954	11786	555
955	11790	542
956	11794	529
957	11802	517
958	11809	504
959	11817	492
960	11825	479
961	11834	467
962	11842	455
963	11849	442
964	11856	430
965	11864	417
966	11869	405
967	11876	392
968	11883	380
969	11890	367
970	11899	355
971	11906	342
972	11913	330
973	11921	318
974	11929	305
975	11937	293
976	11945	281
977	11951	268
978	11955	256
979	11960	244
980	11965	231
981	11969	219
982	11973	207
983	11977	194
984	11981	182
985	11985	170
986	11989	157
987	11995	145
988	11998	133
989	12003	121
990	12009	109
991	12013	96
992	12018	84
993	12022	72
994	12026	60
995	12030	48
996	12035	36
997	12041	24
998	12045	12
999	12049	0
4	12110	60
995	12114	48
996	12119	36
997	12123	24
998	12127	12
999	12131	0
