country_id,probability,name,count
IT,0.40581076991671233,Milanesi,3207
AR,0.1537608567690788,Milanesi,3207
BR,0.03781701799440645,Milanesi,3207
CH,0.02753311138967044,Milanesi,3207
UY,0.027357325097035742,Milanesi,3207
IT,0.2511940087334926,Palerma,114
LU,0.0996801621958304,Palerma,114
BJ,0.0996801621958304,Palerma,114
US,0.07974412975666433,Palerma,114
PT,0.06899128325723333,Palerma,114
NG,0.41577294344335974,Chikezie,2101
NE,0.1880096973337149,Chikezie,2101
GH,0.013307368221127127,Chikezie,2101
US,0.01145963869462643,Chikezie,2101
AE,0.009209675705576337,Chikezie,2101
TW,0.6222090606082118,Kuo,20510
CN,0.018426588509181583,Kuo,20510
US,0.013321218738570603,Kuo,20510
HK,0.009992923939294905,Kuo,20510
LC,0.009148916959047878,Kuo,20510
NG,0.4178597730527477,Chukwudi,5195
NE,0.20472407189471048,Chukwudi,5195
GH,0.00978359959904958,Chukwudi,5195
CM,0.008852667069571045,Chukwudi,5195
NO,0.008195682709211427,Chukwudi,5195
TW,0.6071319822452619,Shih,12454
HK,0.026748680936240866,Shih,12454
CN,0.016444216015196727,Shih,12454
US,0.015893774722067558,Shih,12454
LC,0.008818152220377417,Shih,12454
US,0.27022825534821804,Lipton,2377
CA,0.0619317944933084,Lipton,2377
BD,0.05849429821624402,Lipton,2377
GH,0.040651224756044026,Lipton,2377
AU,0.04064413123081966,Lipton,2377
HK,0.37908580674406267,T'ao,7
CN,0.28783194924520683,T'ao,7
US,0.044100301791736234,T'ao,7
IT,0.022050150895868117,T'ao,7
NG,0.4072860539251504,Ugochukwu,7526
NE,0.20538635010170078,Ugochukwu,7526
GH,0.010284886553937415,Ugochukwu,7526
IS,0.008981910354301785,Ugochukwu,7526
US,0.007185528283441427,Ugochukwu,7526
JP,0.2165146657424198,Ch'en,16
GT,0.180988793177713,Ch'en,16
CN,0.14649033445837367,Ch'en,16
US,0.0897783303921288,Ch'en,16
TN,0.051629756199303205,Ch'en,16
NG,0.4029887307685345,Ndubueze,945
NE,0.21997442368838857,Ndubueze,945
US,0.010754305158098998,Ndubueze,945
AE,0.010057106586132602,Ndubueze,945
NO,0.009854554184439175,Ndubueze,945
TW,0.6481052471318758,Hsieh,19455
US,0.011645625418702987,Hsieh,19455
CN,0.009936728082517365,Hsieh,19455
HK,0.007125935765503597,Hsieh,19455
LC,0.006756917174002143,Hsieh,19455
TW,0.5469780261404937,Tsao,5286
CN,0.04579821862609212,Tsao,5286
HK,0.03107989827929955,Tsao,5286
US,0.02160002376795416,Tsao,5286
LC,0.017027352038366094,Tsao,5286
TW,0.2661857226242042,Ch'ang,6
HK,0.20648382341042684,Ch'ang,6
SG,0.12346632016756656,Ch'ang,6
AU,0.11814984808351675,Ch'ang,6
NG,0.4900762858210206,Chinwendu,1698
NE,0.1690337651044578,Chinwendu,1698
IS,0.011657501041686747,Chinwendu,1698
NO,0.009792002782434335,Chinwendu,1698
CM,0.00740386622530457,Chinwendu,1698
IT,0.34795174931606404,Cattaneo,14654
AR,0.14538030781699524,Cattaneo,14654
CH,0.11595985712796955,Cattaneo,14654
UY,0.0682406279949541,Cattaneo,14654
US,0.015747392011287074,Cattaneo,14654
IT,0.3509999321652132,Lombardi,45043
US,0.08974379973483662,Lombardi,45043
AR,0.07384372527894632,Lombardi,45043
UY,0.049814937328077645,Lombardi,45043
CH,0.031192705609274243,Lombardi,45043
